DrawDate   ,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Thunderball,Ball Set,Machine    ,DrawNumber
14-Jul-2017,2     ,19    ,10    ,12    ,37    ,11         ,T7      ,Excalibur 3,2088
12-Jul-2017,27    ,35    ,37    ,25    ,9     ,4          ,T8      ,Excalibur 3,2087
08-Jul-2017,35    ,34    ,9     ,32    ,33    ,11         ,T7      ,Excalibur 3,2086
07-Jul-2017,13    ,25    ,37    ,22    ,31    ,10         ,T5      ,Excalibur 3,2085
05-Jul-2017,28    ,35    ,22    ,9     ,29    ,10         ,T8      ,Excalibur 3,2084
01-Jul-2017,30    ,16    ,2     ,18    ,37    ,3          ,T5      ,Excalibur 2,2083
30-Jun-2017,35    ,31    ,22    ,16    ,15    ,14         ,T6      ,Excalibur 2,2082
28-Jun-2017,4     ,25    ,5     ,17    ,34    ,10         ,T8      ,Excalibur 2,2081
24-Jun-2017,4     ,25    ,2     ,12    ,39    ,4          ,T6      ,Excalibur 3,2080
23-Jun-2017,39    ,38    ,21    ,11    ,14    ,1          ,T5      ,Excalibur 3,2079
21-Jun-2017,21    ,3     ,6     ,22    ,9     ,3          ,T7      ,Excalibur 3,2078
17-Jun-2017,1     ,5     ,11    ,27    ,28    ,11         ,T1      ,Excalibur 2,2077
16-Jun-2017,3     ,16    ,17    ,37    ,15    ,2          ,T6      ,Excalibur 3,2076
14-Jun-2017,31    ,19    ,10    ,29    ,16    ,8          ,T8      ,Excalibur 3,2075
10-Jun-2017,12    ,23    ,39    ,10    ,33    ,6          ,T7      ,Excalibur 3,2074
09-Jun-2017,26    ,16    ,35    ,33    ,32    ,5          ,T2      ,Excalibur 2,2073
07-Jun-2017,34    ,19    ,6     ,18    ,8     ,2          ,T3      ,Excalibur 2,2072
03-Jun-2017,37    ,23    ,5     ,29    ,11    ,10         ,T4      ,Excalibur 3,2071
02-Jun-2017,5     ,32    ,4     ,20    ,13    ,4          ,T4      ,Excalibur 2,2070
31-May-2017,12    ,37    ,16    ,9     ,30    ,12         ,T1      ,Excalibur 3,2069
27-May-2017,16    ,13    ,18    ,26    ,39    ,3          ,T3      ,Excalibur 2,2068
26-May-2017,18    ,3     ,16    ,15    ,13    ,4          ,T2      ,Excalibur 2,2067
